年份,出售單位 發電案場,購買者,憑證種類,供電種類,憑證張數,詳情
2020,中威風力發電股份有限公司(台中風場),台灣積體電路製造股份有限公司,風力能,轉供,32396,詳情
2020,南方電力股份有限公司鴻元工程顧問有限公司(鴻元高雄辦公室太陽光電發電廠),正信不動產股份有限公司,太陽能,轉供,7,詳情
2020,台汽電綠能股份有限公司苗栗風力股份有限公司(竹南風力發電廠),台灣積體電路製造股份有限公司,風力能,轉供,6020,詳情
2020,台汽電綠能股份有限公司苗栗風力股份有限公司(大鵬風力發電廠),台灣積體電路製造股份有限公司,風力能,轉供,31210,詳情
2020,台汽電綠能股份有限公司鑫光電能有限公司(鑫光電能有限公司),台灣固網股份有限公司,太陽能,轉供,204,詳情
2020,台汽電綠能股份有限公司鑫光電能有限公司(鑫光電能有限公司),財團法人台灣綜合研究院,太陽能,轉供,4,詳情
2020,台灣艾貴太陽能源股份有限公司(台灣艾貴義竹發電廠),台灣積體電路製造股份有限公司,太陽能,轉供,73479,詳情
2020,安威風力發電股份有限公司(安威風場一),台灣積體電路製造股份有限公司,風力能,轉供,1510,詳情
2020,安威風力發電股份有限公司(安威風場二),台灣積體電路製造股份有限公司,風力能,轉供,1758,詳情
2020,安威風力發電股份有限公司(安威風場三),台灣積體電路製造股份有限公司,風力能,轉供,1202,詳情
2020,安威風力發電股份有限公司(安威風場四),台灣積體電路製造股份有限公司,風力能,轉供,1379,詳情
2020,安威風力發電股份有限公司(安威風場五),台灣積體電路製造股份有限公司,風力能,轉供,1815,詳情
2020,富威電力股份有限公司富崴能源股份有限公司(權聖太陽光電廠),博仲法律事務所,太陽能,轉供,1,詳情
2020,富威電力股份有限公司富崴能源股份有限公司(權聖太陽光電廠),正崴精密工業股份有限公司,太陽能,轉供,142,詳情
2020,崎威風力發電股份有限公司(竹南二期風力發電廠),台灣積體電路製造股份有限公司,風力能,轉供,2813,詳情
2020,曄恆能源股份有限公司(曄恆嘉義鹽地太陽光電廠),台灣積體電路製造股份有限公司,太陽能,轉供,19779,詳情
2020,清風風力發電股份有限公司(清水風場),台灣積體電路製造股份有限公司,風力能,轉供,1190,詳情
2020,瓦特先生股份有限公司得禾能源股份有限公司(國源汽車二期),元太科技工業股份有限公司,太陽能,轉供,7,詳情
2020,瓦特先生股份有限公司得禾能源股份有限公司(國源汽車二期),台灣萊雅股份有限公司,太陽能,轉供,1,詳情
2020,瓦特先生股份有限公司得禾能源股份有限公司(國源汽車二期),大江生醫股份有限公司,太陽能,轉供,7,詳情
2020,瓦特先生股份有限公司得禾能源股份有限公司(台南一期),元太科技工業股份有限公司,太陽能,轉供,4,詳情
2020,瓦特先生股份有限公司得禾能源股份有限公司(台南二期),大江生醫股份有限公司,太陽能,轉供,4,詳情
2020,通威風力發電股份有限公司(通威風場一),台灣積體電路製造股份有限公司,風力能,轉供,12130,詳情
2020,通威風力發電股份有限公司(通威風場二),台灣積體電路製造股份有限公司,風力能,轉供,8225,詳情
